,lat,long,depth,mag,stations,mvalue,magpred
1,-20.42,181.62,562,4.8,41,182,0
2,-20.62,181.03,650,4.2,15,203.6525,0
3,-26,184.1,42,5.4,43,51.375,1
4,-17.97,181.66,626,4.1,19,198.4475,0
5,-20.42,181.96,649,4,11,203.635,0
6,-19.68,184.31,195,4,12,90.9075,0
7,-11.7,166.1,82,4.8,43,60.3,0
8,-28.11,181.93,194,4.4,15,88.055,0
9,-28.74,181.74,211,4.7,35,92.175,0
10,-17.47,179.59,622,4.3,19,197.105,0
11,-21.44,180.69,583,4.4,13,186.6625,0
12,-12.26,167,249,4.6,16,102.085,0
13,-18.54,182.11,554,4.4,19,180.4925,0
14,-21,181.66,600,4.4,10,191.265,0
15,-20.7,169.92,139,6.1,94,73.58,1
16,-15.94,184.95,306,4.3,11,119.8275,0
17,-13.64,165.96,50,6,83,52.08,1
18,-17.83,181.5,590,4.5,21,189.5425,0
19,-23.5,179.78,570,4.4,13,182.67,0
20,-22.63,180.31,598,4.4,18,190.02,0
21,-20.84,181.16,576,4.5,17,185.205,0
22,-10.98,166.32,211,4.2,12,92.635,0
23,-23.3,180.16,512,4.4,18,168.315,0
24,-30.2,182,125,4.7,22,70.375,0
25,-19.66,180.28,431,5.4,57,149.255,1
26,-17.94,181.49,537,4,15,176.1375,0
27,-14.72,167.51,155,4.6,18,78.0975,0
28,-16.46,180.79,498,5.2,79,166.8825,1
29,-20.97,181.47,582,4.5,25,186.75,0
30,-19.84,182.37,328,4.4,17,123.7325,0
31,-22.58,179.24,553,4.6,21,178.565,0
32,-16.32,166.74,50,4.7,30,51.28,0
33,-15.55,185.05,292,4.8,42,116.575,0
34,-23.55,180.8,349,4,10,127.5625,0
35,-16.3,186,48,4.5,10,55.55,0
36,-25.82,179.33,600,4.3,13,189.4525,0
37,-18.73,169.23,206,4.5,17,90.25,0
38,-17.64,181.28,574,4.6,17,185.56,0
39,-17.66,181.4,585,4.1,17,188.21,0
40,-18.82,169.33,230,4.4,11,96.2275,0
41,-37.37,176.78,263,4.7,34,101.7775,0
42,-15.31,186.1,96,4.6,32,67.8475,0
43,-24.97,179.82,511,4.4,23,167.5625,0
44,-15.49,186.04,94,4.3,26,67.2125,0
45,-19.23,169.41,246,4.6,27,100.195,0
46,-30.1,182.3,56,4.9,34,53.275,0
47,-26.4,181.7,329,4.5,24,122.2,0
48,-11.77,166.32,70,4.4,18,57.2375,0
49,-24.12,180.08,493,4.3,21,163.315,0
50,-18.97,185.25,129,5.1,73,75.095,1
51,-18.75,182.35,554,4.2,13,180.45,0
52,-19.26,184.42,223,4,15,98.04,0
53,-22.75,173.2,46,4.6,26,50.2625,0
54,-21.37,180.67,593,4.3,13,189.15,0
55,-20.1,182.16,489,4.2,16,163.815,0
56,-19.85,182.13,562,4.4,31,182.17,0
57,-22.7,181,445,4.5,17,151.95,0
58,-22.06,180.6,584,4,11,186.635,0
59,-17.8,181.35,535,4.4,23,175.7375,0
60,-24.2,179.2,530,4.3,12,172.325,0
61,-20.69,181.55,582,4.7,35,186.89,0
62,-21.16,182.4,260,4.1,12,106.335,0
63,-13.82,172.38,613,5,61,194.14,1
64,-11.49,166.22,84,4.6,32,60.8325,0
65,-20.68,181.41,593,4.9,40,189.6575,0
66,-17.1,184.93,286,4.7,25,114.6325,0
67,-20.14,181.6,587,4.1,13,188.14,0
68,-21.96,179.62,627,5,45,197.415,1
69,-20.42,181.86,530,4.5,27,173.985,0
70,-15.46,187.81,40,5.5,91,54.4625,1
71,-15.31,185.8,152,4,11,81.6225,0
72,-19.86,184.35,201,4.5,30,92.4975,0
73,-11.55,166.2,96,4.3,14,63.7375,0
74,-23.74,179.99,506,5.2,75,166.8625,1
75,-17.7,181.23,546,4.4,35,178.4825,0
76,-23.54,180.04,564,4.3,15,181.2,0
77,-19.21,184.7,197,4.1,11,91.6475,0
78,-12.11,167.06,265,4.5,23,106.1125,0
79,-21.81,181.71,323,4.2,15,121.775,0
80,-28.98,181.11,304,5.3,60,115.3575,1
81,-34.02,180.21,75,5.2,65,56.5975,1
82,-23.84,180.99,367,4.5,27,132.1625,0
83,-19.57,182.38,579,4.6,38,186.6025,0
84,-20.12,183.4,284,4.3,15,112.895,0
85,-17.7,181.7,450,4,11,154.5,0
86,-19.66,184.31,170,4.3,15,84.7375,0
87,-21.5,170.5,117,4.7,32,67.675,0
88,-23.64,179.96,538,4.5,26,174.705,0
89,-15.43,186.3,123,4.2,16,74.5175,0
90,-15.41,186.44,69,4.3,42,61.0825,0
91,-15.48,167.53,128,5.1,61,71.2875,1
92,-13.36,167.06,236,4.7,22,98.6,0
93,-20.64,182.02,497,5.2,64,165.895,0
94,-19.72,169.71,271,4.2,14,106.2975,0
95,-15.44,185.26,224,4.2,21,99.505,0
96,-19.73,182.4,375,4,18,135.4175,0
97,-27.24,181.11,365,4.5,21,130.8425,0
98,-18.16,183.41,306,5.2,54,119.1125,1
99,-13.66,166.54,50,5.1,45,51.995,1
100,-24.57,179.92,484,4.7,33,161.0125,0
101,-16.98,185.61,108,4.1,12,70.1825,0
102,-26.2,178.41,583,4.6,25,184.9525,0
103,-21.88,180.39,608,4.7,30,192.8025,0
104,-33,181.6,72,4.7,22,56.325,0
105,-21.33,180.69,636,4.6,29,199.99,0
106,-19.44,183.5,293,4.2,15,115.315,0
107,-34.89,180.6,42,4.4,25,48.0275,0
108,-20.24,169.49,100,4.6,22,63.4625,0
109,-22.55,185.9,42,5.7,76,52.7625,1
110,-36.95,177.81,146,5,35,72.965,1
111,-15.75,185.23,280,4.5,28,113.495,0
112,-16.85,182.31,388,4.2,14,139.415,0
113,-19.06,182.45,477,4,16,161.0975,0
114,-26.11,178.3,617,4.8,39,193.4975,0
115,-26.2,178.35,606,4.4,21,190.6375,0
116,-26.13,178.31,609,4.2,25,191.345,0
117,-13.66,172.23,46,5.3,67,52.4675,1
118,-13.47,172.29,64,4.7,14,56.88,0
119,-14.6,167.4,178,4.8,52,83.9,0
120,-18.96,169.48,248,4.2,13,100.68,0
121,-14.65,166.97,82,4.8,28,59.78,0
122,-19.9,178.9,81,4.3,11,61.075,0
123,-22.05,180.4,606,4.7,27,192.2625,0
124,-19.22,182.43,571,4.5,23,184.6775,0
125,-31.24,180.6,328,4.4,18,120.44,0
126,-17.93,167.89,49,5.1,43,51.015,1
127,-19.3,183.84,517,4.2,21,171.435,0
128,-26.53,178.57,600,5,69,189.26,1
129,-27.72,181.7,94,4.8,59,63.195,0
130,-19.19,183.51,307,4.3,19,118.905,0
131,-17.43,185.43,189,4.5,22,90.375,0
132,-17.05,181.22,527,4.2,24,173.8425,0
133,-19.52,168.98,63,4.5,21,54.24,0
134,-23.71,180.3,510,4.6,30,167.7975,0
135,-21.3,180.82,624,4.3,14,196.955,0
136,-16.24,168.02,53,4.7,12,52.37,0
137,-16.14,187.32,42,5.1,68,54.57,1
138,-23.95,182.8,199,4.6,14,90.6125,0
139,-25.2,182.6,149,4.9,31,77.825,0
140,-18.84,184.16,210,4.2,17,94.88,0
141,-12.66,169.46,658,4.6,43,204.85,0
142,-20.65,181.4,582,4,14,186.6875,0
143,-13.23,167.1,220,5,46,94.7175,1
144,-29.91,181.43,205,4.4,34,90.23,0
145,-14.31,173.5,614,4.2,23,194.3475,0
146,-20.1,184.4,186,4.2,10,88.625,0
147,-17.8,185.17,97,4.4,22,67.1925,0
148,-21.27,173.49,48,4.9,42,51.28,0
149,-23.58,180.17,462,5.3,63,155.9725,1
150,-17.9,181.5,573,4,19,185.15,0
151,-23.34,184.5,56,5.7,106,55.715,1
152,-15.56,167.62,127,6.4,122,71.365,1
153,-23.83,182.56,229,4.3,24,98.0075,0
154,-11.8,165.8,112,4.2,20,67.55,0
155,-15.54,167.68,140,4.7,16,74.21,0
156,-20.65,181.32,597,4.7,39,190.5925,0
157,-11.75,166.07,69,4.2,14,56.88,0
158,-24.81,180,452,4.3,19,152.8725,0
159,-20.9,169.84,93,4.9,31,61.71,0
160,-11.34,166.24,103,4.6,30,65.625,0
161,-17.98,180.5,626,4.1,19,198.155,0
162,-24.34,179.52,504,4.8,34,165.995,0
163,-13.86,167.16,202,4.6,30,89.975,0
164,-35.56,180.2,42,4.6,32,47.81,0
165,-35.48,179.9,59,4.8,35,52.055,0
166,-34.2,179.43,40,5,37,47.5575,1
167,-26,182.12,205,5.6,98,91.68,1
168,-19.89,183.84,244,5.3,73,103.3125,1
169,-23.43,180,553,4.7,41,178.5675,0
170,-18.89,169.42,239,4.5,27,98.5075,0
171,-17.82,181.83,640,4.3,24,202.0775,0
172,-25.68,180.34,434,4.6,41,148.315,0
173,-20.2,180.9,627,4.1,11,197.95,0
174,-15.2,184.68,99,4.1,14,68.145,0
175,-15.03,182.29,399,4.1,10,142.59,0
176,-32.22,180.2,216,5.7,90,92.42,1
177,-22.64,180.64,544,5,50,176.75,1
178,-17.42,185.16,206,4.5,22,94.56,0
179,-17.84,181.48,542,4.1,20,177.435,0
180,-15.02,184.24,339,4.6,27,128.205,0
181,-18.04,181.75,640,4.5,47,202.0525,0
182,-24.6,183.5,67,4.3,25,57.55,0
183,-19.88,184.3,161,4.4,17,82.455,0
184,-20.3,183,375,4.2,15,135.475,0
185,-20.45,181.85,534,4.1,14,174.875,0
186,-17.67,187.09,45,4.9,62,54.83,0
187,-22.3,181.9,309,4.3,11,118.225,0
188,-19.85,181.85,576,4.9,54,185.725,0
189,-24.27,179.88,523,4.6,24,170.8025,0
190,-15.85,185.13,290,4.6,29,115.97,0
191,-20.02,184.09,234,5.3,71,100.8425,1
192,-18.56,169.31,223,4.7,35,94.6125,0
193,-17.87,182,569,4.6,12,184.4325,0
194,-24.08,179.5,605,4.1,21,191.13,0
195,-32.2,179.61,422,4.6,41,143.5025,0
196,-20.36,181.19,637,4.2,23,200.5075,0
197,-23.85,182.53,204,4.6,27,91.82,0
198,-24,182.75,175,4.5,14,84.5625,0
199,-20.41,181.74,538,4.3,31,175.9075,0
200,-17.72,180.3,595,5.2,74,190.695,1
201,-19.67,182.18,360,4.3,23,131.7025,0
202,-17.7,182.2,445,4,12,153.375,0
203,-16.23,183.59,367,4.7,35,134.765,0
204,-26.72,183.35,190,4.5,36,87.7825,0
205,-12.95,169.09,629,4.5,19,197.41,0
206,-21.97,182.32,261,4.3,13,106.4125,0
